x,v,phi,omega
-3.927318752400685287e-02,-1.960543621013882687e-01,4.286016722692567171e+00,1.142239591230489992e+01
-4.265029458873553087e-02,3.600130003570570225e-02,4.789823530749150571e+00,8.810776743328794680e+00
-3.797791190675071232e-02,1.315654532505780572e-01,5.173417454399611870e+00,6.580081049513855973e+00
-3.098199303572637259e-02,1.375174476436278881e-01,5.451644587490106275e+00,4.585145159366843970e+00
-2.493080638409126901e-02,1.002754692348154786e-01,5.635572491026270114e+00,2.808591370584769376e+00
-2.117976464534078451e-02,4.873317749225054146e-02,5.735821132004969236e+00,1.228989928137218524e+00
-2.009484059495371400e-02,-5.375952268764430664e-03,5.760290698255570163e+00,-2.420531258905394001e-01
-2.170448207714782696e-02,-5.861351855083043322e-02,5.711261311196183854e+00,-1.733332011401147454e+00
-2.586761031862005664e-02,-1.060005616836511566e-01,5.584559096705786096e+00,-3.365930289833432454e+00
-3.195182653393591199e-02,-1.312866473938952006e-01,5.371121697895195446e+00,-5.208237709355493017e+00
-3.806661183091909761e-02,-9.995030046596915796e-02,5.060091363288588440e+00,-7.270428215895066160e+00
-4.019545539456409466e-02,3.636431003561395314e-02,4.639724805828398857e+00,-9.601546974975139648e+00
-3.202080672126517147e-02,3.130877088742018421e-01,4.092454661894796786e+00,-1.236620749862902535e+01
-8.011243157314162922e-03,6.216941426035826890e-01,3.403008577555324266e+00,-1.496974479474856423e+01
2.296404768436060423e-02,5.387080222567107723e-01,2.654969415666383448e+00,-1.429980126562275089e+01
4.148829354886068854e-02,2.022848980156494725e-01,2.010697636790489184e+00,-1.140779173012288084e+01
4.517569240089763793e-02,-3.004372916286876527e-02,1.507827971158382407e+00,-8.786206751055315678e+00
4.078252070548695624e-02,-1.263370118243729023e-01,1.125841613218701021e+00,-6.539452569743455790e+00
3.403748341383137921e-02,-1.326021754477825221e-01,8.501928290632021490e-01,-4.520939521489479418e+00
2.824021977620315080e-02,-9.489347505372755509e-02,6.703197229002815227e-01,-2.708064219263215833e+00
2.478661905126680262e-02,-4.210862466139757981e-02,5.763486464489526728e-01,-1.075336004883631347e+00
2.407305194749660010e-02,1.359611024465323670e-02,5.612829152608487249e-01,4.677726862698503574e-01
2.612038543790631828e-02,6.758101162341922929e-02,6.237743628719427669e-01,2.048489398460203503e+00
3.068339958687167288e-02,1.120559716962769292e-01,7.686667447317003798e-01,3.778350296129501906e+00
3.683241367713022824e-02,1.259490219425591917e-01,1.005014292366326112e+00,5.710029166414885893e+00
4.212482872931210681e-02,6.998097548693063552e-02,1.343170163292039643e+00,7.855068702524516056e+00
4.184821259128190113e-02,-1.042509922487755425e-01,1.795446791875107362e+00,1.030235975248704783e+01
2.933041750036940315e-02,-4.130684467056721654e-01,2.381228108734823490e+00,1.317516184104329113e+01
1.439610867330711613e-03,-6.498240937556735153e-01,3.100847355249985782e+00,1.516150103577910713e+01
-2.730542102401625065e-02,-4.404152285418369006e-01,3.828533015124156780e+00,1.343791858005078410e+01
-4.097111394612010932e-02,-1.202609942321291037e-01,4.427177676539547413e+00,1.053561336905441870e+01
-4.168649975683842018e-02,6.763725316597862802e-02,4.889826835378116243e+00,8.039405286547914642e+00
-3.628824008827100794e-02,1.315276387723878226e-01,5.236188162562071646e+00,5.853728279006771729e+00
-2.977816786558270395e-02,1.202063098598616375e-01,5.478530673941750528e+00,3.872544356422466194e+00
-2.481541102406875990e-02,7.510644371056404700e-02,5.626635307083478033e+00,2.081621320662675245e+00
-2.243211529921095709e-02,1.951517878871156936e-02,5.689105845794445671e+00,4.336705899880872739e-01
-2.287962321553561190e-02,-3.712984526619285408e-02,5.670598889230742401e+00,-1.178348071070320469e+00
-2.606523683309788092e-02,-8.858757263164632190e-02,5.569785292984520630e+00,-2.877347870869132240e+00
-3.142723628882791720e-02,-1.205260366008920336e-01,5.379956579445897447e+00,-4.747622191997844077e+00
-3.728918953643683976e-02,-1.018678092587363693e-01,5.091755850784141835e+00,-6.814034682575739410e+00
-4.000297568683066490e-02,1.354708479272295762e-02,4.694715521287963433e+00,-9.117458722796937920e+00
-3.360881653405068531e-02,2.655004087955986636e-01,4.173344278629564030e+00,-1.181357101935773990e+01
-1.203362628347961344e-02,5.846788811155636534e-01,3.510179515475762013e+00,-1.456106703621104437e+01
1.900755871798898849e-02,5.770012707901581717e-01,2.766721151722754790e+00,-1.451259673906521819e+01
3.998611083981623571e-02,2.516011017129113903e-01,2.107034016546433186e+00,-1.173422919337596859e+01
4.571024905202400457e-02,1.241065936803953385e-03,1.589593402729705840e+00,-9.039671821844898147e+00
4.245794248604942145e-02,-1.109937940473262191e-01,1.196555542790348037e+00,-6.729926997489522833e+00
3.622249885210356707e-02,-1.264038298438434071e-01,9.129622939104402590e-01,-4.645679067505223969e+00
3.063934764898700383e-02,-9.167480475627534653e-02,7.289225093666917843e-01,-2.746020834486375239e+00
2.735626381091418174e-02,-3.809200197486618811e-02,6.356836581536069453e-01,-1.004830308250346027e+00
2.689400014365674052e-02,1.962173268914316204e-02,6.272055910755920394e-01,6.630184322946670594e-01
2.926688917205398643e-02,7.400413502934491405e-02,7.027843230347301517e-01,2.377244153864322307e+00
3.404986111616167821e-02,1.129716129117692147e-01,8.673783702827535524e-01,4.235262290595546375e+00
3.987428435586665154e-02,1.096359809412709441e-01,1.129375770973640947e+00,6.276049096524645599e+00
4.359148825425727264e-02,2.064025204352398779e-02,1.498421585003071099e+00,8.528567304219262013e+00
3.974105557121421911e-02,-1.983908998550942548e-01,1.987996176472669907e+00,1.112755381067333715e+01
2.179249261180984942e-02,-5.215493128287685964e-01,2.617215212127497193e+00,1.399191071077898485e+01
-8.626195821270384728e-03,-6.202149461163602995e-01,3.353411858356505348e+00,1.483075062828891610e+01
-3.294519555252697213e-02,-3.237836265219068976e-01,4.039453809265773465e+00,1.233465000485964325e+01
-4.163033856698258872e-02,-4.523981020252570984e-02,4.584773662135503969e+00,9.545406652378467527e+00
-3.986786009169249884e-02,9.390310286660191741e-02,5.001065896564405477e+00,7.160523979957582164e+00
